2025-02-01_19-49-30,000%,shell.cpp:2025-02-01_19-49-30
2025-02-01_20-47-42,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-47-42
2025-02-01_20-48-18,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-48-18
2025-02-01_20-48-36,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-48-36
2025-02-01_20-49-02,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-48-36
2025-02-01_20-49-16,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-49-16
2025-02-01_20-49-38,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-49-38
2025-02-01_20-50-46,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-50-46
2025-02-01_20-50-57,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-50-57
2025-02-01_20-51-13,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-51-13
2025-02-01_20-51-43,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-51-13
2025-02-01_20-51-59,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-51-13
2025-02-01_20-52-15,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-51-13
2025-02-01_20-52-30,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-52-30
2025-02-01_20-53-40,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-53-40
2025-02-01_20-53-58,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-53-58
2025-02-01_20-54-14,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-54-14
2025-02-01_20-57-29,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-57-29
2025-02-01_20-58-02,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-58-02
2025-02-01_20-58-36,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-58-36
2025-02-01_20-59-57,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_20-59-57
2025-02-01_21-00-15,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-00-15
2025-02-01_21-00-31,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-00-31
2025-02-01_21-01-17,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-01-17
2025-02-01_21-01-51,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-01-51
2025-02-01_21-02-37,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-02-37
2025-02-01_21-05-18,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-05-18
2025-02-01_21-06-19,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-06-19
2025-02-01_21-06-43,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-06-43
2025-02-01_21-08-59,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-08-59
2025-02-01_21-09-18,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-09-18
2025-02-01_21-09-36,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-09-36
2025-02-01_21-10-09,000%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-10-09
2025-02-01_21-11-48,010%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-11-48
2025-02-01_21-13-13,010%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-13-13
2025-02-01_21-13-57,030%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-13-57
2025-02-01_21-18-02,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-18-02
2025-02-01_21-18-25,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-18-25
2025-02-01_21-26-53,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-26-53
2025-02-01_21-28-56,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-28-56
2025-02-01_21-29-49,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-29-49
2025-02-01_21-31-19,010%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-31-19
2025-02-01_21-32-16,010%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-32-16
2025-02-01_21-32-36,030%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-32-36
2025-02-01_21-34-27,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-34-27
2025-02-01_21-35-18,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-35-18
2025-02-01_21-42-19,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-42-19
2025-02-01_21-42-38,040%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_21-42-38
2025-02-01_22-52-38,erro_compilação,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_22-52-38
2025-02-01_22-53-25,040%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_22-53-25
2025-02-01_22-54-42,040%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_22-54-42
2025-02-01_22-55-10,040%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_22-55-10
2025-02-01_22-55-42,050%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_22-55-42
2025-02-01_22-58-51,050%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_22-55-42
2025-02-01_23-00-17,060%,fn.hpp:2025-02-01_20-47-42;shell.cpp:2025-02-01_23-00-17
