2024-12-06_11-57-47,COMP,draft.cpp:2024-12-06_11-57-47
2025-03-09_01-10-05,erro_compilação,draft.cpp:2025-03-09_01-10-05
2025-03-09_01-10-08,erro_compilação,draft.cpp:2025-03-09_01-10-05
